variable,ID,date,treat,incubator,response,type,day,unit,treat2,treat3
bacteria,B01,2017-03-31,const,182,3693382.39113814,fcyt,3,cells/ml,constant_3,constant
bacteria,B01,2017-04-03,const,182,6455474.86310976,fcyt,6,cells/ml,constant_3,constant
bacteria,B01,2017-04-05,const,182,1727802.03249903,fcyt,8,cells/ml,constant_3,constant
bacteria,B01,2017-04-07,const,182,1482788.47023361,fcyt,10,cells/ml,constant_3,constant
bacteria,B01,2017-04-10,const,182,4341967.97672189,fcyt,13,cells/ml,constant_3,constant
bacteria,B01,2017-04-12,const,182,7289279.14729191,fcyt,15,cells/ml,constant_3,constant
bacteria,B01,2017-04-14,const,182,7707324.7716973,fcyt,17,cells/ml,constant_3,constant
bacteria,B01,2017-04-17,const,182,6479037.01105417,fcyt,20,cells/ml,constant_3,constant
bacteria,B01,2017-04-19,const,182,5773820.49674271,fcyt,22,cells/ml,constant_3,constant
bacteria,B01,2017-04-21,const,182,5714815.04106274,fcyt,24,cells/ml,constant_3,constant
bacteria,B01,2017-04-24,const,182,6419739.48677458,fcyt,27,cells/ml,constant_3,constant
bacteria,B01,2017-04-26,const,182,7886533.23792042,fcyt,29,cells/ml,constant_3,constant
bacteria,B01,2017-04-28,const,182,10648856.3349239,fcyt,31,cells/ml,constant_3,constant
bacteria,B01,2017-05-01,const,182,8574112.05567257,fcyt,34,cells/ml,constant_3,constant
bacteria,B01,2017-05-03,const,182,2363480.42352083,fcyt,36,cells/ml,constant_3,constant
bacteria,B01,2017-05-05,const,182,10205816.0461539,fcyt,38,cells/ml,constant_3,constant
bacteria,B01,2017-05-08,const,182,3140440.66934385,fcyt,41,cells/ml,constant_3,constant
bacteria,B01,2017-05-10,const,182,8249713.2144516,fcyt,43,cells/ml,constant_3,constant
bacteria,B01,2017-05-12,const,182,9033859.13178965,fcyt,45,cells/ml,constant_3,constant
bacteria,B01,2017-05-15,const,182,5482738.82088812,fcyt,48,cells/ml,constant_3,constant
bacteria,B01,2017-05-17,const,182,5380692.22855139,fcyt,50,cells/ml,constant_3,constant
bacteria,B01,2017-05-19,const,182,8532786.66320672,fcyt,52,cells/ml,constant_3,constant
bacteria,B01,2017-05-22,const,182,10418027.0711073,fcyt,55,cells/ml,constant_3,constant
bacteria,B01,2017-05-24,const,182,9690336.76804057,fcyt,57,cells/ml,constant_3,constant
bacteria,B01,2017-05-26,const,182,12383251.6605656,fcyt,59,cells/ml,constant_3,constant
bacteria,B01,2017-05-29,const,182,7848327.4926425,fcyt,62,cells/ml,constant_3,constant
bacteria,B01,2017-05-31,const,182,7461720.45607844,fcyt,64,cells/ml,constant_3,constant
bacteria,B01,2017-06-02,const,182,7510871.63196433,fcyt,66,cells/ml,constant_3,constant
bacteria,B01,2017-06-05,const,182,9241207.44785614,fcyt,69,cells/ml,constant_3,constant
bacteria,B01,2017-06-07,const,182,9173094.51538218,fcyt,71,cells/ml,constant_3,constant
bacteria,B01,2017-06-09,const,182,7373259.21577065,fcyt,73,cells/ml,constant_3,constant
bacteria,B01,2017-06-12,const,182,5761162.21065639,fcyt,76,cells/ml,constant_3,constant
bacteria,B01,2017-06-14,const,182,3436928.42984823,fcyt,78,cells/ml,constant_3,constant
bacteria,B01,2017-06-16,const,182,5142254.29568353,fcyt,80,cells/ml,constant_3,constant
bacteria,B01,2017-06-19,const,182,4101729.41730311,fcyt,83,cells/ml,constant_3,constant
bacteria,B01,2017-06-21,const,182,2963002.47066025,fcyt,85,cells/ml,constant_3,constant
bacteria,B01,2017-06-23,const,182,2390815.6504115,fcyt,87,cells/ml,constant_3,constant
bacteria,B01,2017-06-26,const,182,3114777.62531011,fcyt,90,cells/ml,constant_3,constant
bacteria,B01,2017-06-28,const,182,5986695.93384364,fcyt,92,cells/ml,constant_3,constant
bacteria,B01,2017-06-30,const,182,7586287.51398305,fcyt,94,cells/ml,constant_3,constant
bacteria,B01,2017-07-03,const,182,7204071.28893458,fcyt,97,cells/ml,constant_3,constant
bacteria,B01,2017-07-05,const,182,2923331.08446644,fcyt,99,cells/ml,constant_3,constant
bacteria,B01,2017-07-07,const,182,2632796.29847755,fcyt,101,cells/ml,constant_3,constant
bacteria,B01,2017-07-10,const,182,4136953.9593088,fcyt,104,cells/ml,constant_3,constant
bacteria,B01,2017-07-12,const,182,4034627.59753651,fcyt,106,cells/ml,constant_3,constant
bacteria,B01,2017-07-14,const,182,1940504.10995816,fcyt,108,cells/ml,constant_3,constant
bacteria,B01,2017-07-17,const,182,4210565.67044167,fcyt,111,cells/ml,constant_3,constant
bacteria,B01,2017-07-19,const,182,2406499.93546612,fcyt,113,cells/ml,constant_3,constant
bacteria,B01,2017-07-21,const,182,1822862.29550481,fcyt,115,cells/ml,constant_3,constant
bacteria,B01,2017-07-24,const,182,5559578.20059889,fcyt,118,cells/ml,constant_3,constant
bacteria,B01,2017-07-26,const,182,7063036.33868876,fcyt,120,cells/ml,constant_3,constant
bacteria,B01,2017-07-28,const,182,2871819.98038155,fcyt,122,cells/ml,constant_3,constant
bacteria,B01,2017-07-31,const,182,2806212.53404789,fcyt,125,cells/ml,constant_3,constant
bacteria,B01,2017-08-02,const,182,3935250.80353279,fcyt,127,cells/ml,constant_3,constant
bacteria,B01,2017-08-04,const,182,1460757.87674307,fcyt,129,cells/ml,constant_3,constant
bacteria,B01,2017-08-07,const,182,3358270.92884185,fcyt,132,cells/ml,constant_3,constant
bacteria,B01,2017-08-09,const,182,1592565.89704877,fcyt,134,cells/ml,constant_3,constant
bacteria,B01,2017-08-11,const,182,2431467.63766974,fcyt,136,cells/ml,constant_3,constant
bacteria,B01,2017-08-14,const,182,1469569.08641948,fcyt,139,cells/ml,constant_3,constant
bacteria,B01,2017-08-16,const,182,893691.450162822,fcyt,141,cells/ml,constant_3,constant
bacteria,B01,2017-08-18,const,182,2647405.32297759,fcyt,143,cells/ml,constant_3,constant
bacteria,B01,2017-08-21,const,182,7004931.33049882,fcyt,146,cells/ml,constant_3,constant
bacteria,B01,2017-08-23,const,182,6586027.97654846,fcyt,148,cells/ml,constant_3,constant
bacteria,B01,2017-08-25,const,182,4167893.29633343,fcyt,150,cells/ml,constant_3,constant
bacteria,B01,2017-08-28,const,182,5237081.83477106,fcyt,153,cells/ml,constant_3,constant
bacteria,B01,2017-08-30,const,182,4364492.21548092,fcyt,155,cells/ml,constant_3,constant
bacteria,B02,2017-03-31,const,182,7021239.10227915,fcyt,3,cells/ml,constant_3,constant
bacteria,B02,2017-04-03,const,182,5228082.23503833,fcyt,6,cells/ml,constant_3,constant
bacteria,B02,2017-04-05,const,182,1533018.73156563,fcyt,8,cells/ml,constant_3,constant
bacteria,B02,2017-04-07,const,182,1479448.49241131,fcyt,10,cells/ml,constant_3,constant
bacteria,B02,2017-04-10,const,182,2209176.56613684,fcyt,13,cells/ml,constant_3,constant
bacteria,B02,2017-04-12,const,182,7863471.33187829,fcyt,15,cells/ml,constant_3,constant
bacteria,B02,2017-04-14,const,182,7572947.69006476,fcyt,17,cells/ml,constant_3,constant
bacteria,B02,2017-04-17,const,182,6261122.48396815,fcyt,20,cells/ml,constant_3,constant
bacteria,B02,2017-04-19,const,182,5650374.88821061,fcyt,22,cells/ml,constant_3,constant
bacteria,B02,2017-04-21,const,182,7576892.14908067,fcyt,24,cells/ml,constant_3,constant
bacteria,B02,2017-04-24,const,182,6707051.17944587,fcyt,27,cells/ml,constant_3,constant
bacteria,B02,2017-04-26,const,182,9205664.83233562,fcyt,29,cells/ml,constant_3,constant
bacteria,B02,2017-04-28,const,182,12785403.3772391,fcyt,31,cells/ml,constant_3,constant
bacteria,B02,2017-05-01,const,182,8075707.84828921,fcyt,34,cells/ml,constant_3,constant
bacteria,B02,2017-05-03,const,182,1834568.47069884,fcyt,36,cells/ml,constant_3,constant
bacteria,B02,2017-05-05,const,182,6191537.78473444,fcyt,38,cells/ml,constant_3,constant
